P2W,P2A,P2D,P1W,P1A,P1D,N1W,N1A,N1D,N2W,N2A,N2D,FW,FA,FD
"this","DT|QL","DT","dolorous","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","record","NN|VB","NN"
"given","VBN|JJ|IN","IN","good","JJ|NN|AP_2","JJ","&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","weather","NN|VB","NN"
"great","JJ|AP_2|NP","JJ","robust","JJ","JJ","which","WDTR|WDT","WDTR","was","BEDZ","BEDZ","match","NN|VB","NN"
"out","RP|IN|JJB","RP","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","hand","NN|VB","NN"
"Saturday","NR","NR","&apos;s","GENM|BEZ|HVZ","GENM","&comma;","SCOM","SCOM","he","PP3A","PP3A","match","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","&comma;","SCOM","SCOM","it","PP3|NC","PP3","field","NN|VB","NN"
"given","VBN|JJ|IN","VBN","full","JJ|RB_2|RB","JJ","by","IN|RP|IN_1","IN","the","ATI|RB_2|NC","ATI","credit","NN|VB","NN"
"<O>","<O>","<O>","sales","NNS","NNS","&period;","SPER|IN","SPER","<O>","<O>","<O>","slump","NN|VB","NN"
"wife","NN|NC","NN","of","IN|RB_1|IN_3","IN","golfer","NN","NN","Jimmy","NP|NC","NP","master","NN|VB","NN"
"Middlesex","NP","NP","&comma;","SCOM","SCOM","&period;","SPER|IN","SPER","<O>","<O>","<O>","club","NN|VB","NN"
"closed","VBN|VBD|JJ","VBN","by","IN|RP|IN_1","IN","&comma;","SCOM","SCOM","she","PP3A","PP3A","rain","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","sales","NNS","NNS","&period;","SPER|IN","SPER","<O>","<O>","<O>","slump","NN|VB","NN"
"Ryder","NP","NP","cup","NN","NN","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","team","NN|VB","NN"
"has","HVZ","HVZ","invaluable","JJ","JJ","and","CC|RB_1|RB_2","CC","he","PP3A","PP3A","experience","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","enthusiastic","JJ","JJ","of","IN|RB_1|IN_3","IN","player","NN","NN","type","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","regular","JJ","JJ","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","place","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","England","NP","NP","last","AP|RB_2|VB","AP","season","NN","NN","team","NN|VB","NN"
"with","IN|IN_2|RI","IN","his","PPG|PPGG","PPG","team-mates","NNS","NNS","&comma;","SCOM","SCOM","club","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","FA","NP","NP","for","IN|CS|IN_2","IN","boys","NNS","NNS","book","NN|VB","NN"
"after","IN|CS|RI","IN","their","PPG","PPG","against","IN|IN_2|RI","IN","Chelsea","NP","NP","match","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","soccer","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","side","NN|VB","NN"
"making","VBG|NN","VBG","a","AT|AP_1|RB_1","AT","clause","NN","NN","essential","JJ|NN","JJ","limit","NN|VB","NN"
"by","IN|RP|IN_1","IN","the","ATI|RB_2|NC","ATI","from","IN|IN_2|RB_2","IN","which","WDTR|WDT","WDTR","club","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","middleweight","NN","NN","&comma;","SCOM","SCOM","is","BEZ|NC","BEZ","champion","NN|VB","NN"
"Californian","JNP","JNP","&lsquo;","SQSO","SQSO","&rsquo;","SQSC","SQSC","Sixto","NP","NP","kid","NN|VB","NN"
"Californian","JNP","JNP","cruiserweight","NN","NN","&comma;","SCOM","SCOM","began","VBD","VBD","champion","NN|VB","NN"
"has","HVZ","HVZ","a","AT|AP_1|RB_1","AT","that","CS|DT|WPR","WPR","is","BEZ|NC","BEZ","record","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","home","NR","NR","by","IN|RP|IN_1","IN","Oldham","NP","NP","defeat","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","new","JJ","JJ","&comma;","SCOM","SCOM","which","WDTR|WDT","WDTR","plan","NN|VB","NN"
"in","IN|RP|RB_1","IN","a","AT|AP_1|RB_1","AT","competition","NN","NN","even","RB|CS_1|JJ","RB","reserve","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","new","JJ","JJ","competition","NN","NN","&period;","SPER|IN","SPER","reserve","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","cup","NN","NN","particularly","RB","RB","in","IN|RP|RB_1","IN","tie","NN|VB","NN"
"Saturday","NR","NR","&apos;s","GENM|BEZ|HVZ","GENM","plus","IN|FW|JJ","IN","Terry","NP","NP","team","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Aldershot","NP","NP","at","IN|RB_1|NC","IN","inside-left","NN","NN","team","NN|VB","NN"
"FA","NP","NP","cup","NN","NN","with","IN|IN_2|RI","IN","Stoke","NP","NP","tie","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Aldershot","NP","NP","on","IN|RP|RB_3","IN","Saturday","NR","NR","team","NN|VB","NN"
"with","IN|IN_2|RI","IN","his","PPG|PPGG","PPG","Parnell","NP","NP","moves","VBZ|NNS","VBZ","return","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","England","NP","NP","tonight","NR","NR","&comma;","SCOM","SCOM","team","NN|VB","NN"
"is","BEZ|NC","BEZ","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","every","AT","AT","aim","NN|VB","NN"
"my","PPG|NC","PPG","own","AP|VB","AP","back","RP|NN|JJB","RP","&period;","SPER|IN","SPER","form","NN|VB","NN"
"for","IN|CS|IN_2","IN","a","AT|AP_1|RB_1","AT","&period;","SPER|IN","SPER","<O>","<O>","<O>","transfer","NN|VB","NN"
"into","IN","IN","their","PPG","PPG","and","CC|RB_1|RB_2","CC","naturalisation","NN","NN","attack","NN|VB","NN"
"at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","match","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","the","ATI|RB_2|NC","ATI","are","BER","BER","having","HVG","HVG","club","NN|VB","NN"
"post","NN|JJB|RB","NN","of","IN|RB_1|IN_3","IN","is","BEZ|NC","BEZ","Vic","NP","NP","coach","NN|VB","NN"
"manager","NN","NN","and","CC|RB_1|RB_2","CC","of","IN|RB_1|IN_3","IN","Ajax","NP","NP","coach","NN|VB","NN"
"Campbell","NP","NP","&comma;","SCOM","SCOM","of","IN|RB_1|IN_3","IN","Reading","NP","NP","coach","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","big","JJ","JJ","in","IN|RP|RB_1","IN","his","PPG|PPGG","PPG","point","NN|VB","NN"
"in","IN|RP|RB_1","IN","his","PPG|PPGG","PPG","is","BEZ|NC","BEZ","that","CS|DT|WPR","CS","favour","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Horsham","NP","NP","&apos;chase","NN","NN","&period;","SPER|IN","SPER","handicap","NN|VB","NN"
"for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","jump","VB|NN|NC","NN","which","WDTR|WDT","WDTR","water","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","obstacle","NN","NN","had","HVD|HVN","HVD","water","NN|VB","NN"
"made","VBN|VBD","VBD","his","PPG|PPGG","PPG","four","CD","CD","fences","NNS","NNS","mistake","NN|VB","NN"
"&period;","SPER|IN","SPER","excavation","NN","NN","identifies","VBZ","VBZ","shrine","NN","NN","work","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","north","NR","NR","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","side","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","later","RBR|JJR","JJR","&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","date","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","date","NN|VB","NN"
"building","NN|VBG","NN","took","VBD","VBD","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","place","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","central","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","tower","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","central","JJ","JJ","which","WDTR|WDT","WDTR","before","IN|CS|RI","RI","tower","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","chapel","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","floor","NN|VB","NN"
"as","CS|IN|QL","CS","this","DT|QL","DT","had","HVD|HVN","HVD","been","BEN","BEN","floor","NN|VB","NN"
"&comma;","SCOM","SCOM","in","IN|RP|RB_1","IN","until","CS|IN","CS","the","ATI|RB_2|NC","ATI","use","NN|VB","NN"
"its","PPG","PPG","exact","JJ|VB","JJ","and","CC|RB_1|RB_2","CC","plan","NN|VB","NN","size","NN|VB","NN"
"size","NN|VB","NN","and","CC|RB_1|RB_2","CC","&period;","SPER|IN","SPER","<O>","<O>","<O>","plan","NN|VB","NN"
"unexpected","JJ","JJ","&comma;","SCOM","SCOM","&period;","SPER|IN","SPER","<O>","<O>","<O>","result","NN|VB","NN"
"much","AP|RB","RB","earlier","JJR|RBR","JJR","and","CC|RB_1|RB_2","CC","these","DTS","DTS","date","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","similar","JJ","JJ","&comma;","SCOM","SCOM","forming","VBG","VBG","date","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","and","CC|RB_1|RB_2","CC","nature","NN","NN","date","NN|VB","NN"
"strong","JJ","JJ","&lsquo;","SQSO","SQSO","house","NN|VB","NN","&rsquo;","SQSC","SQSC","treasure","NN|VB","NN"
"&lsquo;","SQSO","SQSO","treasure","NN|VB","NN","&rsquo;","SQSC","SQSC","or","CC|NC|FW","CC","house","NN|VB","NN"
"still","RB|JJ|VB","RB","later","RBR|JJR","JJR","&comma;","SCOM","SCOM","was","BEDZ","BEDZ","date","NN|VB","NN"
"<O>","<O>","<O>","second","OD|NN|RB","OD","vessel","NN","NN","launched","VBN|VBD","VBN","pilot","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","vessel","NN","NN","Preceder","NP","NP","pilot","NN|VB","NN"
"&comma;","SCOM","SCOM","superintendent","NN","NN","at","IN|RB_1|NC","IN","Harwich","NP","NP","pilot","NN|VB","NN"
"with","IN|IN_2|RI","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","24","CD","CD","beam","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","designed","VBN|VBD|JJ","JJ","of","IN|RB_1|IN_3","IN","just","RB|JJ","RB","speed","NN|VB","NN"
"radar","NN","NN","and","CC|RB_1|RB_2","CC","sounder","JJR|NN","NN","&comma;","SCOM","SCOM","echo","NN|VB","NN"
"medium","NN|JJB","JJB","frequency","NN","NN","telephone","NN|VB","NN","&period;","SPER|IN","SPER","radio","NN|VB","NN"
"frequency","NN","NN","radio","NN|VB","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","telephone","NN|VB","NN"
"for","IN|CS|IN_2","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","20","CD","CD","crew","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","the","ATI|RB_2|NC","ATI","cutter","NN","NN","on","IN|RP|RB_3","IN","pilot","NN|VB","NN"
"drop","VB|NN","NN","in","IN|RP|RB_1","IN","incomes","NNS","NNS","&period;","SPER|IN","SPER","farm","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","incomes","NNS","NNS","in","IN|RP|RB_1","IN","farm","NN|VB","NN"
"union","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","accounts","NNS|VBZ","NNS","scheme","NN","NN","farm","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","cereal","NN","NN","crops","NNS|VBZ","NNS","record","NN|VB","NN"
"for","IN|CS|IN_2","IN","an","AT","AT","of","IN|RB_1|IN_3","IN","nearly","RB","RB","increase","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","slight","JJ|NN","JJ","in","IN|RP|RB_1","IN","revenue","NN","NN","increase","NN|VB","NN"
"in","IN|RP|RB_1","IN","feeding","NN|VBG|JJ","NN","expenditure","NN","NN","&period;","SPER|IN","SPER","stuff","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","substantial","JJ","JJ","in","IN|RP|RB_1","IN","egg","NN","NN","increase","NN|VB","NN"
"as","CS|IN|QL","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","result","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","in","IN|RP|RB_1","IN","income","NN","NN","decline","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","an","AT","AT","in","IN|RP|RB_1","IN","expenditure","NN","NN","increase","NN|VB","NN"
"based","VBN|VBD|JJ","VBN","on","IN|RP|RB_3","IN","accounts","NNS|VBZ","NNS","of","IN|RB_1|IN_3","IN","sample","NN|VB","NN"
"whose","WPGR|WPG","WPGR","year-ending","JJB","JJB","fell","VBD|NN|JJ","VBD","between","IN|RI|IN_2","IN","date","NN|VB","NN"
"at","IN|RB_1|NC","IN","Fakenham","NP","NP","yesterday","NR","NR","on","IN|RP|RB_3","IN","court","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","total","JJ|NN|VB","JJ","of","IN|RB_1|IN_3","IN","&pound;","NNU","NNU","value","NN|VB","NN"
"to","TO|IN|IN_2","IN","my","PPG|NC","PPG","at","IN|RB_1|NC","IN","4&period;30","CD","CD","house","NN|VB","NN"
"you","PP2","PP2","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","stuff","NN|VB","NN"
"into","IN","IN","the","ATI|RB_2|NC","ATI","and","CC|RB_1|RB_2","CC","gave","VBD","VBD","house","NN|VB","NN"
"d","NNU|ZZ|VBD","NNU","in","IN|RP|RB_1","IN","saying","VBG|NN","VBG","&comma;","SCOM","SCOM","cash","NN|VB","NN"
"had","HVD|HVN","HVD","a","AT|AP_1|RB_1","AT","with","IN|IN_2|RI","IN","my","PPG|NC","PPG","row","NN|VB","NN"
"<O>","<O>","<O>","in","IN|RP|RB_1","IN","Maloney","NP","NP","said","VBD|VBN|JJ","VBD","court","NN|VB","NN"
"&comma;","SCOM","SCOM","took","VBD","VBD","at","IN|RB_1|NC","IN","St","NPT|NPL|NP","NPT","place","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","superintendent","NN","NN","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","minister","NN|VB","NN"
"was","BEDZ","BEDZ","a","AT|AP_1|RB_1","AT","worker","NN","NN","throughout","IN|RI","IN","land","NN|VB","NN"
"Norfolk","NP","NP","constituency","NN","NN","party","NN|NC","NN","was","BEDZ","BEDZ","labour","NN|VB","NN"
"guttering","NN","NN","&comma;","SCOM","SCOM","and","CC|RB_1|RB_2","CC","outlets","NNS","NNS","pipe","NN|VB","NN"
"in","IN|RP|RB_1","IN","Guestwick","NP","NP","free","JJ|VB|RB","RB","and","CC|RB_1|RB_2","CC","rent","NN|VB","NN"
"marriage","NN","NN","&comma;","SCOM","SCOM","told","VBD|VBN|JJ","VBN","&period;","SPER|IN","SPER","court","NN|VB","NN"
"their","PPG","PPG","sole","JJB|NN","JJB","&comma;","SCOM","SCOM","whenever","WRB","WRB","object","NN|VB","NN"
"commissioner","NN","NN","for","IN|CS|IN_2","IN","&comma;","SCOM","SCOM","at","IN|RB_1|NC","IN","divorce","NN|VB","NN"
"at","IN|RB_1|NC","IN","Norwich","NP","NP","court","NN|VB","NN","yesterday","NR","NR","divorce","NN|VB","NN"
"Norwich","NP","NP","divorce","NN|VB","NN","yesterday","NR","NR","&period;","SPER|IN","SPER","court","NN|VB","NN"
"granted","VBN|VBD","VBD","a","AT|AP_1|RB_1","AT","nisi","CS","CS","to","TO|IN|IN_2","IN","decree","NN|VB","NN"
"discretion","NN","NN","in","IN|RP|RB_1","IN","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","favour","NN|VB","NN"
"on","IN|RP|RB_3","IN","his","PPG|PPGG","PPG","&period;","SPER|IN","SPER","court","NN|VB","NN","part","NN|VB","NN"
"part","NN|VB","NN","&period;","SPER|IN","SPER","quiz","NN","NN","on","IN|RP|RB_3","IN","court","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","Darlington","NP","NP","today","NR|NC","NR","by","IN|RP|IN_1","IN","court","NN|VB","NN"
"&comma;","SCOM","SCOM","another","DT|PPLS_2","DT","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","witness","NN|VB","NN"
"with","IN|IN_2|RI","IN","a","AT|AP_1|RB_1","AT","to","TO|IN|IN_2","IN","identifying","VBG","VBG","view","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","reframed","VBN","VBN","&period;","SPER|IN","SPER","question","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","straight","RB|JJ|NN","JJ","?","SQM","SQM","&rsquo;","SQSC","SQSC","answer","NN|VB","NN"
"no","ATI|UH|RB","UH","&comma;","SCOM","SCOM","&period;","SPER|IN","SPER","<O>","<O>","<O>","sir","NN|VB","NN"
"answered","VBD|VBN","VBD","your","PPG","PPG","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","question","NN|VB","NN"
"owner","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","&comma;","SCOM","SCOM","stealing","VBG|NN","VBG","consent","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","car","NN","NN","and","CC|RB_1|RB_2","CC","driving","VBG|NN|JJ","VBG","radio","NN|VB","NN"
"at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","&dash;","SDSH","SDSH","20","CD","CD","court","NN|VB","NN"
"way","NN|RB|RB_2","NN","to","TO|IN|IN_2","IN","when","WRB","WRB","police","NNS|VB|NN","NNS","court","NN|VB","NN"
"but","CC|IN|RI","CC","the","ATI|RB_2|NC","ATI","was","BEDZ","BEDZ","missing","JJ|VBG","JJ","radio","NN|VB","NN"
"taking","VBG|NN","VBG","much","AP|RB","AP","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","notice","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","khaki","NN","NN","colour","NN|VB","NN","&period;","SPER|IN","SPER","drill","NN|VB","NN"
"khaki","NN","NN","drill","NN|VB","NN","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","colour","NN|VB","NN"
"anyone","PN","PN","in","IN|RP|RB_1","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","court","NN|VB","NN"
"told","VBD|VBN|JJ","VBD","the","ATI|RB_2|NC","ATI","he","PP3A","PP3A","was","BEDZ","BEDZ","court","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","other","AP|PPLS_2","AP","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","side","NN|VB","NN"
"up","RP|IN|JJ_2","RP","his","PPG|PPGG","PPG","and","CC|RB_1|RB_2","CC","flashed","VBD|VBN","VBD","hand","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","peculiar","JJ","JJ","on","IN|RP|RB_3","IN","people","NNS|NN","NNS","colour","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","cafe","NN","NN","lighting","NN|VBG","NN","was","BEDZ","BEDZ","strip","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","my","PPG|NC","PPG","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","answer","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","last","AP|RB_2|VB","AP","must","MD|NN","MD","be","BE|RB_2","BE","witness","NN|VB","NN"
"taking","VBG|NN","VBG","without","IN|RI","IN","&comma;","SCOM","SCOM","Fenwick","NP","NP","consent","NN|VB","NN"
"near","IN|RI|JJ","IN","the","ATI|RB_2|NC","ATI","(","SBO","SBO","Neasham","NP","NP","place","NN|VB","NN"
"back","RP|NN|JJB","RP","by","IN|RP|IN_1","IN","about","IN|RB|RP","IN","midnight","NN","NN","taxi","NN|VB","NN"
"made","VBN|VBD","VBD","no","ATI|UH|RB","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","reply","NN|VB","NN"
"taking","VBG|NN","VBG","without","IN|RI","IN","&comma;","SCOM","SCOM","driving","VBG|NN|JJ","VBG","consent","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","Durham","NP","NP","in","IN|RP|RB_1","IN","1956","CD","CD","court","NN|VB","NN"
"him","PP3O","PP3O","in","IN|RP|RB_1","IN","&comma;","SCOM","SCOM","through","IN|RP|JJB","IN","court","NN|VB","NN"
"two","CD","CD","national","JJ|NN","JJ","jockeys","NNS","NNS","&period;","SPER|IN","SPER","hunt","NN|VB","NN"
"into","IN","IN","the","ATI|RB_2|NC","ATI","box","NN","NN","&period;","SPER|IN","SPER","witness","NN|VB","NN"
"on","IN|RP|RB_3","IN","their","PPG","PPG","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","side","NN|VB","NN"
"told","VBD|VBN|JJ","VBD","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","court","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","other","AP|PPLS_2","AP","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","side","NN|VB","NN"
"<O>","<O>","<O>","slight","JJ|NN","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","damage","NN|VB","NN"
"some","DTI|PN_1|RB","DTI","slight","JJ|NN","JJ","on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","damage","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","wrong","JJ|RB|NN","JJ","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","side","NN|VB","NN"
"as","CS|IN|QL","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","result","NN|VB","NN"
"out","RP|IN|JJB","RP","of","IN|RB_1|IN_3","IN","landed","VBN|VBD|JJ","VBD","him","PP3O","PP3O","trouble","NN|VB","NN"
"in","IN|RP|RB_1","IN","a","AT|AP_1|RB_1","AT","before","IN|CS|RI","IN","the","ATI|RB_2|NC","ATI","court","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","Darlington","NP","NP","today","NR|NC","NR","a","AT|AP_1|RB_1","AT","court","NN|VB","NN"
"&pound;","NNU","NNU","50","CD","CD","so","QL|RB|PN","CS_1","that","CS|DT|WPR","CS_2","deposit","NN|VB","NN"
"at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","&pound;","NNU","NNU","rate","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","jockey","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","club","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","jockey","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","request","NN|VB","NN","club","NN|VB","NN"
"club","NN|VB","NN","&apos;s","GENM|BEZ|HVZ","GENM","&period;","SPER|IN","SPER","<O>","<O>","<O>","request","NN|VB","NN"
"refused","VBD|VBN","VBN","the","ATI|RB_2|NC","ATI","before","IN|CS|RI","CS","it","PP3|NC","PP3","increase","NN|VB","NN"
"that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","should","MD","MD","be","BE|RB_2","BE","increase","NN|VB","NN"
"on","IN|RP|RB_3","IN","betting","NN|VBG","NN","contributions","NNS","NNS","to","TO|IN|IN_2","IN","levy","NN|VB","NN"
"own","AP|VB","AP","private","JJ|RB_2|NN","JJ","or","CC|NC|FW","CC","shower","NN","NN","bath","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","first","OD|RB|RB_2","OD","&comma;","SCOM","SCOM","over","IN|RP|RB","IN","floor","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","new","JJ","JJ","&comma;","SCOM","SCOM","which","WDTR|WDT","WDTR","structure","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","ground","NN|JJ|VBN","NN","and","CC|RB_1|RB_2","CC","timber","NN","NN","floor","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","first","OD|RB|RB_2","OD","&period;","SPER|IN","SPER","<O>","<O>","<O>","floor","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","&comma;","SCOM","SCOM","which","WDTR|WDT","WDTR","work","NN|VB","NN"
"<O>","<O>","<O>","unemployment","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","decrease","NN|VB","NN"
"&lsquo;","SQSO","SQSO","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","unemployed","JJ","JJ","number","NN|VB","NN"
"Warwick","NP","NP","employment","NN","NN","&comma;","SCOM","SCOM","at","IN|RB_1|NC","IN","exchange","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","domestic","JJ","JJ","&comma;","SCOM","SCOM","as","CS|IN|QL","CC_1","work","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","electrical","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","work","NN|VB","NN"
"council","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","overdraft","NN","NN","stopped","VBD|VBN","VBD","bank","NN|VB","NN"
"would","MD","MD","council","NN","NN","rents","NNS","NNS","be","BE|RB_2","BE","house","NN|VB","NN"
"on","IN|RP|RB_3","IN","a","AT|AP_1|RB_1","AT","committee","NN","NN","recommendation","NN","NN","finance","NN|VB","NN"
"Warwick","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","&period;","SPER|IN","SPER","<O>","<O>","<O>","size","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","committee","NN","NN","had","HVD|HVN","HVD","finance","NN|VB","NN"
"E","NP|ZZ|NC","NP","Lloyd-Averns","NP","NP","committee","NN","NN","chairman","NN","NN","finance","NN|VB","NN"
"as","CS|IN|QL","CS_4","council","NN","NN","rents","NNS","NNS","are","BER","BER","house","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","size","NN|VB","NN"
"presentation","NN","NN","took","VBD","VBD","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","place","NN|VB","NN"
"Minister","NPT","NPT","of","IN|RB_1|IN_3","IN","asking","VBG|NN","VBG","if","CS|CS_2","CS","transport","NN|VB","NN"
"asked","VBD|VBN","VBD","the","ATI|RB_2|NC","ATI","for","IN|CS|IN_2","IN","support","NN|VB","NN","press","NN|VB","NN"
"press","NN|VB","NN","for","IN|CS|IN_2","IN","and","CC|RB_1|RB_2","CC","said","VBD|VBN|JJ","VBD","support","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","socialist","JJ|NN","JJ","&comma;","SCOM","SCOM","said","VBD|VBN|JJ","VBD","group","NN|VB","NN"
"been","BEN","BEN","against","IN|IN_2|RI","IN","control","NN|VB","NN","for","IN|CS|IN_2","IN","smoke","NN|VB","NN"
"against","IN|IN_2|RI","IN","smoke","NN|VB","NN","for","IN|CS|IN_2","IN","Leamington","NP","NP","control","NN|VB","NN"
"in","IN|RP|RB_1","IN","a","AT|AP_1|RB_1","AT","&comma;","SCOM","SCOM","&rsquo;","SQSC","SQSC","hurry","NN|VB","NN"
